Timestamp,Day,Participant,Location Coordinates,HRV
2023-01-13 15:38:50,Friday,2,"52.3040027, 10.546163",27.8664298132
2023-01-13 15:39:00,Friday,2,"52.3040027, 10.546163",27.8664298132
2023-01-13 15:39:10,Friday,2,"52.30388545, 10.5454866",27.8664298132
2023-01-13 15:39:20,Friday,2,"52.3036512, 10.544319",27.93278959586
2023-01-13 15:39:30,Friday,2,"52.3034537, 10.5432455",28.1982287265
2023-01-13 15:39:40,Friday,2,"52.30330225, 10.5422165",28.1982287265
2023-01-13 15:39:50,Friday,2,"52.3031833, 10.5413023",28.87790872824
2023-01-13 15:40:00,Friday,2,"52.3028966, 10.5407134",31.5966287352
2023-01-13 15:40:30,Friday,2,"52.302586, 10.5407534",37.2491561135
2023-01-13 15:40:40,Friday,2,"52.30214814, 10.54098115",37.2491561135
2023-01-13 15:40:50,Friday,2,"52.30138219, 10.54133518",37.1879815144
2023-01-13 15:41:00,Friday,2,"52.30071415, 10.54162229",36.943283118
2023-01-13 15:41:10,Friday,2,"52.29994082, 10.54199415",36.943283118
2023-01-13 15:41:20,Friday,2,"52.29932376, 10.54231164",37.16920655468
2023-01-13 15:41:30,Friday,2,"52.2991714, 10.5423813",38.0729003014
2023-01-13 15:41:40,Friday,2,"52.2989626, 10.5424279",38.0729003014
2023-01-13 15:41:50,Friday,2,"52.29869901, 10.54253037",38.06710612296
2023-01-13 15:42:00,Friday,2,"52.29782042, 10.54232564",38.0439294092
2023-01-13 15:42:10,Friday,2,"52.29704501, 10.54139724",38.0439294092
2023-01-13 15:42:20,Friday,2,"52.29649154, 10.54086027",37.65126082458
2023-01-13 15:42:30,Friday,2,"52.29579787, 10.54055242",36.0805864861
2023-01-13 15:42:40,Friday,2,"52.2948217, 10.54031138",36.0805864861
2023-01-13 15:42:50,Friday,2,"52.2935171, 10.5400082",36.8421874624
2023-01-13 15:42:50,Friday,2,"52.2939734, 10.54009685",36.0805864861
2023-01-13 15:43:00,Friday,2,"52.29293924, 10.53989609",36.8421874624
2023-01-13 15:43:10,Friday,2,"52.29188596, 10.53969013",36.8421874624
2023-01-13 15:43:20,Friday,2,"52.291185, 10.53953",36.8421874624
2023-01-13 15:43:20,Friday,2,"52.2907436625, 10.539445575",36.2808076437
2023-01-13 15:43:30,Friday,2,"52.289781, 10.53925127",34.5966681876
2023-01-13 15:43:40,Friday,2,"52.28867517, 10.53896985",34.5966681876
2023-01-13 15:43:50,Friday,2,"52.28773626, 10.53874488",34.14881542162
2023-01-13 15:44:00,Friday,2,"52.2873851, 10.5386921",32.3574043577
2023-01-13 15:44:10,Friday,2,"52.2872037, 10.5386613",32.3574043577
2023-01-13 15:44:20,Friday,2,"52.28682937, 10.53856103",31.78100702234
2023-01-13 15:44:30,Friday,2,"52.2865326, 10.5384894",29.4754176809
2023-01-13 15:44:50,Friday,2,"52.2863276, 10.5384658",29.20112332745
2023-01-13 15:45:00,Friday,2,"52.28589292, 10.53838506",28.926828974
2023-01-13 15:45:10,Friday,2,"52.28497968, 10.53816639",28.926828974
2023-01-13 15:45:20,Friday,2,"52.28419262, 10.5379495",29.15720564098
2023-01-13 15:45:30,Friday,2,"52.2840194, 10.5379098",30.0787123089
2023-01-13 15:45:50,Friday,2,"52.28369295, 10.53786395",30.28107840406
2023-01-13 15:46:00,Friday,2,"52.28297215, 10.53768115",31.0905427847
2023-01-13 15:46:10,Friday,2,"52.2824852375, 10.5375890125",31.0905427847
2023-01-13 15:46:20,Friday,2,"52.2817791875, 10.5374214375",31.26668106545
2023-01-13 15:46:20,Friday,2,"52.2823263, 10.5375557",31.0905427847
2023-01-13 15:46:30,Friday,2,"52.28108824, 10.53697447",31.7950959077
2023-01-13 15:46:40,Friday,2,"52.2804993666667, 10.5365481",31.7950959077
2023-01-13 15:46:40,Friday,2,"52.2800877, 10.536312725",31.7950959077
2023-01-13 15:46:50,Friday,2,"52.27954072, 10.5359748",31.34829756048
2023-01-13 15:47:00,Friday,2,"52.27867265, 10.53540982",29.5611041716
2023-01-13 15:47:10,Friday,2,"52.27782816, 10.53494827",29.5611041716
2023-01-13 15:47:20,Friday,2,"52.2773090428571, 10.5348394142857",29.5611041716
2023-01-13 15:47:50,Friday,2,"52.2770304, 10.5348351",32.51101861166
2023-01-13 15:48:00,Friday,2,"52.2765376, 10.53499445",33.776923376
2023-01-13 15:48:10,Friday,2,"52.27605725, 10.5352211",33.776923376
2023-01-13 15:48:40,Friday,2,"52.2757627, 10.5353409",32.8389296502
2023-01-13 15:48:50,Friday,2,"52.27530405, 10.53560825",33.72582689126
2023-01-13 15:49:00,Friday,2,"52.2749792, 10.5358044",37.2734158555
2023-01-13 15:49:20,Friday,2,"52.274765, 10.5359198",36.370466971
2023-01-13 15:49:30,Friday,2,"52.27453718, 10.53607052",36.370466971
2023-01-13 15:49:40,Friday,2,"52.2738801333333, 10.5364206111111",36.370466971
2023-01-13 15:49:50,Friday,2,"52.2735622, 10.5365557",36.370466971
2023-01-13 15:50:20,Friday,2,"52.2733791, 10.5366062",37.9706215452
2023-01-13 15:50:30,Friday,2,"52.2730482555556, 10.5367690666667",38.7342578718
2023-01-13 15:50:40,Friday,2,"52.2727452, 10.5369297333333",38.7342578718
2023-01-13 15:51:10,Friday,2,"52.2724987, 10.5371022",39.1648781615
2023-01-13 15:51:20,Friday,2,"52.2723726444444, 10.5372076444444",39.2281128606556
2023-01-13 15:51:30,Friday,2,"52.27206045, 10.5374021666667",39.7339904539
2023-01-13 15:51:40,Friday,2,"52.27166638, 10.53765084",39.7339904539
2023-01-13 15:51:50,Friday,2,"52.27100041, 10.53809599",38.91625395534
2023-01-13 15:52:00,Friday,2,"52.27045512, 10.53843651",35.6453079611
2023-01-13 15:52:10,Friday,2,"52.2699208, 10.53875368",35.6453079611
2023-01-13 15:52:20,Friday,2,"52.26935431, 10.53908275",35.18868709376
